"","SD","Median","relabundance","Prevalance"
"Paraprevotella",5.11463248858684e-06,0,0.000124848956047519,0
"Parapusillimonas",5.68258499434678e-06,0,6.69699064028588e-05,0
"Parasutterella",4.73250418529743e-06,0,0.000121639908482186,0
"Parcubacteria_genera_incertae_sedis",4.84428353343761e-06,0,0.000109842795859787,0
"Parvibaculum",8.02369717004122e-06,0,0.000444687161108934,0
"Parvularcula",9.07848993118533e-06,0,0.00033464902347432,0
"Pasteurella",3.35170044865895e-06,0,6.85029365179814e-05,0
"Paucisalibacillus",5.57577849111737e-06,0,0.000178888297655103,0
"Pectobacterium",0.000130477712520509,0,0.00568685690640648,0
"Pediococcus",0.000401418807300751,0,0.00498714711193964,0.0138888888888889
"Pedobacter",5.37663657685034e-06,0,0.000126035539863274,0
"Pelagibacterium",2.84129249717339e-06,0,3.34849532014294e-05,0
"Pelagicoccus",7.69792383632111e-06,0,0.000253351354801727,0
"Pelistega",1.62173015271443e-06,0,1.91122731373179e-05,0
"Pelobacter",1.07754530673638e-06,0,1.26989932238172e-05,0
"Pelolinea",3.0386028096752e-06,0,4.87283405268854e-05,0
"Pelosinus",2.09603699159862e-05,0.000526731630234396,0.00122974152302007,0
"Pelospora",1.83477226825443e-06,0,3.07690732140897e-05,0
"Pelotomaculum",3.08817225976319e-06,0,8.25676478160889e-05,0
"Peptoniphilus",0.00229734506547311,0.00127401975187926,0.0555842549300603,0.0694444444444444
"Peptostreptococcaceae_incertae_sedis",8.67611280740782e-06,0,0.000459609271527777,0
"Peptostreptococcus",2.10399604016492e-06,0,2.47958311265044e-05,0
"Peredibacter",1.91459325041106e-06,0,3.96147277442233e-05,0
"Perexilibacter",2.43408575908788e-06,0,2.86859757706774e-05,0
"Perlucidibaca",3.43857541930094e-05,0,0.00151878787985191,0
"Permianibacter",1.60293694673374e-06,0,1.88907930808314e-05,0
"Petrotoga",2.93673386986688e-06,0,3.46097405653847e-05,0
"Phaeovibrio",3.89191671998144e-06,0,4.58666784085363e-05,0
"Phascolarctobacterium",1.16654257515647e-06,0,1.37478360905993e-05,0
"Phaseolibacter",9.1971180978557e-06,0,0.000186622245885957,0
"Phenylobacterium",1.01100197676033e-05,0,0.000814248906458231,0
"Phocaeicola",1.07754530673638e-06,0,1.26989932238172e-05,0
"Photobacterium",8.90838188907451e-06,0,0.000225824152157548,0
"Photorhabdus",0.000145297596711697,0.00107130003018081,0.00582462701456672,0
"Phreatobacter",1.19557211607395e-06,0,1.40899525112241e-05,0
"Phyllobacterium",2.15347350081642e-06,0,4.35697170942465e-05,0
"Phytomonospora",2.83128362552552e-06,0,5.69417032991189e-05,0
"Pigmentiphaga",1.13000038543103e-06,0,1.33171822546948e-05,0
"Pilibacter",2.47147240360036e-05,0,0.000369471457723292,0
"Piscibacillus",6.31768938560648e-06,0,0.000268404555445665,0
"Piscicoccus",5.13216771193446e-06,0,0.000116767064525463,0
"Piscirickettsia",2.10789422953363e-06,0,4.33189560700948e-05,0
"Planococcaceae_incertae_sedis",4.71802582970947e-06,0,0.000140501536554705,0
"Planococcus",3.2123759661546e-05,0.00122227614031389,0.00228947192714146,0
"Planomicrobium",1.74384426364137e-05,0,0.000968111774991624,0
"Plantactinospora",3.89191671998144e-06,0,4.58666784085363e-05,0
"Plasticicumulans",8.6960476491101e-06,0,0.000242989571325295,0
"Pleomorphobacterium",3.79547404849306e-06,0,7.33399919840147e-05,0
"Plesiocystis",1.15274634909203e-05,0,0.000461108887181002,0
"Plesiomonas",4.41376406773441e-06,0,8.51135938172383e-05,0
"Pluralibacter",0.000792745421141814,0,0.0098057620973752,0.0138888888888889
"Polaribacter",3.89191671998144e-06,0,4.58666784085363e-05,0
"Polycladomyces",2.60298529497347e-06,0,5.3836189653748e-05,0
"Pontibacillus",1.37348400311115e-05,0,0.000763783032998382,0
"Poribacteria_genera_incertae_sedis",9.88756210913617e-06,0,0.000294558736669853,0
"Porphyromonas",2.67522045337893e-06,0,4.31030275022453e-05,0
"Porticoccus",1.6833470960971e-06,0,1.98384357790157e-05,0
"Portibacter",2.69546484752634e-06,0,5.57922962180745e-05,0
"Povalibacter",1.16475553906127e-06,0,1.37267756682469e-05,0
"Pragia",1.42423818662412e-05,0,0.000281112824990443,0
"Prevotella",4.649593281933e-06,0,0.000105419378456099,0
"Pricia",1.53912929603968e-06,0,1.81388127058755e-05,0
"Promicromonospora",5.09346034797549e-06,0,0.000146684153053597,0
"Propionibacterium",0.00368208897753417,0.00599601402709985,0.12961673326847,0.166666666666667
"Propioniciclava",3.67228862863449e-06,0,6.92167909003781e-05,0
"Propionicimonas",1.13000038543103e-06,0,1.33171822546948e-05,0
"Propioniferax",7.36510428534353e-05,0,0.00115625088480208,0
"Propionimicrobium",2.13124714869247e-06,0,3.57698998387081e-05,0
"Propionispira",6.33149690794663e-06,0,0.000246915373358932,0
"Propionispora",1.6117495924201e-06,0,1.89946511062485e-05,0
"Proteiniborus",2.26000077086205e-06,0,2.66343645093897e-05,0
"Proteiniclasticum",4.29230158713769e-06,0,9.28756455339625e-05,0
"Proteinivorax",1.78196815797632e-06,0,2.93716644249038e-05,0
"Proteocatella",9.52993456016482e-06,0,0.000396111903049433,0
"Proteus",0.0373891143689519,0,0.444797649970844,0.0138888888888889
"Providencia",2.05025118153992e-05,0,0.00104365056631797,0
"Pseudoalteromonas",4.38283070383495e-06,0,0.000106385253490158,0
"Pseudobacteriovorax",2.06530745635566e-06,0,3.4646758875332e-05,0
"Pseudobacteroides",1.88484900937165e-06,0,3.15872188673132e-05,0
"Pseudobutyrivibrio",4.79164892892244e-06,0,0.000112398656170487,0
"Pseudocitrobacter",2.72434170398701e-05,0,0.000321066748859754,0
"Pseudoclavibacter",6.57693956175617e-06,0,0.000217375416402531,0
"Pseudohongiella",1.68670402560368e-05,0,0.000791675999597688,0
"Pseudokineococcus",1.0367768519167e-05,0,0.00040799021437691,0
"Pseudomaricurvus",1.19557211607395e-06,0,1.40899525112241e-05,0
"Pseudomonas",0.205250622323806,0.135775514280134,9.17531613222791,0.611111111111111
"Pseudonocardia",7.05241920362765e-06,0,0.000430415550398495,0
"Pseudorhodobacter",4.0347236340384e-06,0,5.86143742065463e-05,0
"Pseudospirillum",7.34149385755701e-06,0,0.000144764335021181,0
"Pseudothermotoga",1.60315499779299e-06,0,1.88933628372087e-05,0
"Pseudoxanthobacter",2.51447679671717e-06,0,5.15319920086395e-05,0
"Pseudoxanthomonas",0.000127733532222303,0,0.00168053310903007,0.0138888888888889
"Psychrobacillus",2.99407499257491e-06,0,4.99436589775057e-05,0
"Psychrobacter",6.31610146959699e-05,0,0.00261434786886269,0
"Psychromonas",5.80698505018112e-06,0,0.000157688526126549,0
"Psychrosphaera",4.14520349144293e-06,0,6.33398361436237e-05,0
"Pullulanibacillus",4.52976982274089e-06,0,0.000158547501044371,0
"Puniceicoccus",1.48264659878669e-06,0,1.74731577350874e-05,0
"Pusillimonas",2.4161504228703e-05,0,0.000297939284466845,0
"Quadrisphaera",5.47210075563299e-06,0,0.000210368669912611,0
"Quatrionicoccus",1.00962177196352e-06,0,1.18985066898164e-05,0
"Rahnella",5.54323359839988e-06,0,0.000103287073675106,0
"Ralstonia",5.72653119751687e-06,0,0.000140859827022684,0
"Raoultella",0.00152230799675209,0,0.0201338037404764,0.0277777777777778
"Rarobacter",3.7782170093666e-06,0,8.470555138502e-05,0
"Rathayibacter",5.19431720818959e-06,0,0.000172213916785776,0
"Reichenbachiella",2.3554209177311e-06,0,2.77589017246051e-05,0
"Reinekea",6.01786452937213e-06,0,0.000253346196272519,0
"Reyranella",1.07569625401849e-06,0,1.26772019285574e-05,0
"Rhabdochromatium",1.48200106134743e-06,0,2.4870058026461e-05,0
"Rheinheimera",2.92968365684323e-05,0,0.00104030062873744,0
"Rhizobacter",3.39957277598695e-06,0,6.93365007335877e-05,0
"Rhizobium",0.000218578753296334,0,0.00334860063081235,0.0138888888888889
"Rhizomicrobium",1.17110988748865e-06,0,1.38016623826307e-05,0
"Rhodobacter",1.30199224664985e-06,0,1.53441257776403e-05,0
"Rhodococcus",4.65056064578627e-05,0,0.000980578234437351,0
"Rhodocyclus",1.6117495924201e-06,0,1.89946511062485e-05,0
"Rhodoglobus",5.00205164621624e-06,0,0.000197113304525009,0
"Rhodoligotrophos",4.7568305241348e-06,0,8.53571868420715e-05,0
"Rhodoluna",5.95529153144514e-06,0,0.000241353839085852,0
"Rhodopila",1.4206462485867e-06,0,1.67424766007147e-05,0
"Rhodothalassium",2.43408575908788e-06,0,2.86859757706774e-05,0
"Rhodothermus",3.47332974266526e-06,0,9.11139949131824e-05,0
"Rickettsia",4.96703972742228e-06,0,0.000118151406353518,0
"Romboutsia",5.5251285404624e-06,0,0.000111583290349555,0
"Roseburia",1.60691884361771e-05,0,0.00064249593580733,0
"Roseicitreum",1.13000038543103e-06,0,1.33171822546948e-05,0
"Rosenbergiella",2.5108899394443e-06,0,2.95911217165691e-05,0
"Roseococcus",7.31556186514132e-06,0,0.000344087139662075,0
"Roseomonas",0.000139570300644733,0,0.00348972843263966,0.0138888888888889
"Roseospira",4.46474641635549e-06,0,0.000108079567115821,0
"Roseovarius",2.35485613630975e-06,0,2.7752245711723e-05,0
"Rothia",0.00123992986781747,0,0.01648917290502,0.0138888888888889
"Ruania",3.94059114876094e-06,0,7.7022492004309e-05,0
"Rubellimicrobium",3.13259784813707e-06,0,5.93374599203504e-05,0
"Rubrobacter",8.48585303868212e-06,0,0.000195728729635609,0
"Ruminobacter",8.27219410339595e-06,0,0.000264793529857004,0
"Ruminococcus",1.83702890991785e-05,0.000906472215591914,0.00135374768426105,0
"Rummeliibacillus",2.13835999960781e-06,0,4.40544919858468e-05,0
"Saccharibacillus",1.55170091274457e-05,0,0.000490891835885777,0
"Saccharibacteria_genera_incertae_sedis",2.4278602179546e-05,0,0.00119178547029636,0
"Saccharofermentans",2.1466117228786e-06,0,2.52980617636999e-05,0
"Saccharomonospora",5.81139291322076e-06,0,0.000233548295755994,0
"Saccharopolyspora",1.11492694817964e-05,0,0.000441682871717852,0
"Saccharospirillum",1.26536602600238e-06,0,1.49124816278226e-05,0
"Saccharothrix",1.59284113907334e-06,0,1.87718128465277e-05,0
"Salana",1.48264659878669e-06,0,1.74731577350874e-05,0
"Salicola",1.10963292806208e-05,0,0.000302627211394104,0
"Salimicrobium",3.19296448613283e-06,0,0.000103222547419348,0
"Salinibacillus",1.86600474545397e-05,0,0.00116290989297365,0
